,Unnamed: 0,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_bin,param_max_depth,param_min_child_samples,param_min_child_weight,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,param_subsample_for_bin,param_subsample_freq,params,rmse_val
0,0,-2.3706395700918987,-2.368846299353435,-2.3174855059880497,-2.352323791811128,0.02464526424154284,41,96.89213116963705,36.20086169764524,47.300781170527145,7.264665836251378,0.4160029192647807,0.01241881627783703,940,32,34,4.1411863834435225,208,74,5.497557739289786e-07,0.05936070635912049,0.06083028248722215,0.13556548021189216,171234,6,"OrderedDict([('colsample_bytree', 0.4160029192647807), ('learning_rate', 0.01241881627783703), ('max_bin', 940), ('max_depth', 32), ('min_child_samples', 34), ('min_child_weight', 4.1411863834435225), ('n_estimators', 208), ('num_leaves', 74), ('reg_alpha', 5.497557739289786e-07), ('reg_lambda', 0.05936070635912049), ('scale_pos_weight', 0.060830282487222144), ('subsample', 0.13556548021189216), ('subsample_for_bin', 171234), ('subsample_freq', 6)])",2.1619547828770265
1,1,-2.3712730724659714,-2.4089798930502853,-2.272187404506947,-2.350813456674401,0.057688780764974,37,120.04310981432596,37.784306335228464,22.39943631490071,5.62181475062128,0.8390144719977516,0.15247791391944726,373,95,43,0.6231295022094206,112,37,0.0005266983003701547,276.54244755742246,0.3016410771843142,0.9923710598637134,406716,4,"OrderedDict([('colsample_bytree', 0.8390144719977516), ('learning_rate', 0.15247791391944723), ('max_bin', 373), ('max_depth', 95), ('min_child_samples', 43), ('min_child_weight', 0.6231295022094206), ('n_estimators', 112), ('num_leaves', 37), ('reg_alpha', 0.0005266983003701547), ('reg_lambda', 276.5424475574225), ('scale_pos_weight', 0.3016410771843142), ('subsample', 0.9923710598637134), ('subsample_for_bin', 406716), ('subsample_freq', 4)])",2.118371959866075
2,2,-2.3757495581862766,-2.3994514647239726,-2.2831337129992644,-2.352778245303171,0.05018775251162979,42,78.28338503837584,28.365199162341305,32.681660095850624,4.940661179777722,0.4503841871781403,0.269809757549238,194,43,10,4.536653492696456,120,76,0.00010376808625045426,476.96194787286544,1.3165669602830552,0.38765850056252704,179142,5,"OrderedDict([('colsample_bytree', 0.4503841871781403), ('learning_rate', 0.269809757549238), ('max_bin', 194), ('max_depth', 43), ('min_child_samples', 10), ('min_child_weight', 4.5366534926964555), ('n_estimators', 120), ('num_leaves', 76), ('reg_alpha', 0.00010376808625045426), ('reg_lambda', 476.96194787286544), ('scale_pos_weight', 1.3165669602830552), ('subsample', 0.387658500562527), ('subsample_for_bin', 179142), ('subsample_freq', 5)])",2.132857567160476
6,6,-2.363140938950144,-2.417145867974193,-2.2725266654718674,-2.3509378241320684,0.059667777130539223,38,230.60853783289588,82.53143503038412,69.98154536883037,11.962153577666204,0.6209085649172932,0.026763977234469383,423,87,30,5.946200391406382,342,43,0.004026635957416632,0.040887904512512056,109.72255122430063,0.6612742297240571,344698,3,"OrderedDict([('colsample_bytree', 0.6209085649172932), ('learning_rate', 0.02676397723446938), ('max_bin', 423), ('max_depth', 87), ('min_child_samples', 30), ('min_child_weight', 5.946200391406382), ('n_estimators', 342), ('num_leaves', 43), ('reg_alpha', 0.004026635957416632), ('reg_lambda', 0.040887904512512056), ('scale_pos_weight', 109.72255122430063), ('subsample', 0.6612742297240571), ('subsample_for_bin', 344698), ('subsample_freq', 3)])",2.1194028853242624
13,13,-2.338025432224311,-2.3730137274119607,-2.298504261138244,-2.3365144735915058,0.030437119750846564,9,97.7057752609253,38.155350318792095,51.42850208282471,6.0040211298193515,0.3485907591654728,0.01877412525090989,880,42,33,2.1109324766349093,232,63,1.9386844864864646e-07,9.337896115941259,0.014000636973954938,0.19458047517021415,263268,5,"OrderedDict([('colsample_bytree', 0.3485907591654728), ('learning_rate', 0.018774125250909886), ('max_bin', 880), ('max_depth', 42), ('min_child_samples', 33), ('min_child_weight', 2.110932476634909), ('n_estimators', 232), ('num_leaves', 63), ('reg_alpha', 1.9386844864864643e-07), ('reg_lambda', 9.33789611594126), ('scale_pos_weight', 0.014000636973954938), ('subsample', 0.19458047517021418), ('subsample_for_bin', 263268), ('subsample_freq', 5)])",2.1358235492367252
16,16,-2.3256847399970693,-2.4024804355919884,-2.284353009249247,-2.337506061612768,0.048944389853153865,12,169.01743396123248,62.62045506268207,63.21564563115439,9.869194983827732,0.6054784638824845,0.014763976288298768,975,0,50,0.3198542280401547,263,100,1e-09,0.028735085635546786,3.5139314298691497e-06,0.3734440833939159,239283,6,"OrderedDict([('colsample_bytree', 0.6054784638824845), ('learning_rate', 0.014763976288298768), ('max_bin', 975), ('max_depth', 0), ('min_child_samples', 50), ('min_child_weight', 0.3198542280401547), ('n_estimators', 263), ('num_leaves', 100), ('reg_alpha', 1e-09), ('reg_lambda', 0.02873508563554679), ('scale_pos_weight', 3.51393142986915e-06), ('subsample', 0.3734440833939159), ('subsample_for_bin', 239283), ('subsample_freq', 6)])",2.1193500098810127
17,17,-2.3857580344751383,-2.374117373311652,-2.2998855281294355,-2.3532536453054083,0.03803501190799565,43,66.01377455393475,24.669666101532346,14.899502038955688,2.278514901933581,0.6259405594333994,0.12398951959808767,119,65,30,4.187017258869708,50,100,0.0016297861992989812,710.7680686804773,1.4295943731008614e-05,0.8393722963782664,222984,8,"OrderedDict([('colsample_bytree', 0.6259405594333994), ('learning_rate', 0.12398951959808767), ('max_bin', 119), ('max_depth', 65), ('min_child_samples', 30), ('min_child_weight', 4.187017258869708), ('n_estimators', 50), ('num_leaves', 100), ('reg_alpha', 0.0016297861992989812), ('reg_lambda', 710.7680686804773), ('scale_pos_weight', 1.4295943731008616e-05), ('subsample', 0.8393722963782664), ('subsample_for_bin', 222984), ('subsample_freq', 8)])",2.14136105520842
18,18,-2.3375931084739645,-2.4164134339867793,-2.281003087450708,-2.345003209970484,0.05552880748101974,26,178.66065573692322,66.26255922400466,66.86233282089232,9.893883358284599,0.6229562790680098,0.017721452172322363,582,0,40,2.0225852278423573,274,100,1e-09,0.6632295039147821,3.8379778595414164e-06,0.4187729652135194,266327,6,"OrderedDict([('colsample_bytree', 0.6229562790680098), ('learning_rate', 0.017721452172322363), ('max_bin', 582), ('max_depth', 0), ('min_child_samples', 40), ('min_child_weight', 2.0225852278423573), ('n_estimators', 274), ('num_leaves', 100), ('reg_alpha', 1e-09), ('reg_lambda', 0.6632295039147821), ('scale_pos_weight', 3.8379778595414164e-06), ('subsample', 0.4187729652135194), ('subsample_for_bin', 266327), ('subsample_freq', 6)])",2.1171784664017492
20,20,-2.346138255847264,-2.403970857053066,-2.2764529016539288,-2.3421873381847527,0.0521338952446873,21,187.21273183822632,67.3209516754301,68.67002018292743,11.986679529885109,0.5765073193557176,0.021919476963032036,662,60,34,2.280190874861245,288,67,2.7446868294198394e-07,3.3744033005744734,0.041052879765749464,0.46749719427214104,337174,3,"OrderedDict([('colsample_bytree', 0.5765073193557176), ('learning_rate', 0.021919476963032033), ('max_bin', 662), ('max_depth', 60), ('min_child_samples', 34), ('min_child_weight', 2.280190874861245), ('n_estimators', 288), ('num_leaves', 67), ('reg_alpha', 2.7446868294198394e-07), ('reg_lambda', 3.374403300574473), ('scale_pos_weight', 0.04105287976574946), ('subsample', 0.467497194272141), ('subsample_for_bin', 337174), ('subsample_freq', 3)])",2.1129769870784614
22,22,-2.3351040445096003,-2.383437362161541,-2.2878879851237537,-2.335476463931632,0.039008758719435634,7,110.18986614545184,42.445953331446304,51.520217577616364,6.838629109695155,0.4298446291790709,0.016905391326467085,847,28,40,0.969348835836737,229,77,2.524011601629368e-07,0.5513474604069509,0.0010631908026605386,0.2466396610515622,212226,5,"OrderedDict([('colsample_bytree', 0.4298446291790709), ('learning_rate', 0.016905391326467085), ('max_bin', 847), ('max_depth', 28), ('min_child_samples', 40), ('min_child_weight', 0.969348835836737), ('n_estimators', 229), ('num_leaves', 77), ('reg_alpha', 2.524011601629368e-07), ('reg_lambda', 0.5513474604069509), ('scale_pos_weight', 0.0010631908026605386), ('subsample', 0.2466396610515622), ('subsample_for_bin', 212226), ('subsample_freq', 5)])",2.131341945657417
